geometry,x,y
POINT (115.9438165 -33.7419307),115.94382,-33.74193
POINT (115.9452329 -33.742867),115.94523,-33.74287
POINT (115.9471107 -33.744145),115.94711,-33.74415
POINT (115.87112 -33.6609491),115.87112,-33.66095
POINT (115.8970191 -33.6884881),115.89702,-33.68849
POINT (115.8955476 -33.6883782),115.89555,-33.68838
POINT (116.1939078 -33.9740609),116.19391,-33.97406
POINT (116.1972289 -33.9742817),116.19723,-33.97428
POINT (115.9571395 -33.7391012),115.95714,-33.7391
POINT (115.9665632 -33.747504),115.96656,-33.7475
POINT (115.966548 -33.7535663),115.96655,-33.75357
POINT (115.977018 -33.757085),115.97702,-33.75708
POINT (115.9854542 -33.748377),115.98545,-33.74838
POINT (115.9583926 -33.7585555),115.95839,-33.75856
POINT (116.106668 -33.9081198),116.10667,-33.90812
POINT (116.1659869 -33.9112398),116.16599,-33.91124
POINT (116.1655667 -33.9112419),116.16557,-33.91124
POINT (116.0939217 -33.9239127),116.09392,-33.92391
POINT (116.0971226 -33.9134033),116.09712,-33.9134
POINT (116.0989046 -33.9168908),116.0989,-33.91689
POINT (116.0395509 -33.9473523),116.03955,-33.94735
POINT (116.1773594 -33.9466634),116.17736,-33.94666
POINT (116.0615735 -33.9523274),116.06157,-33.95233
POINT (116.0552009 -33.948518),116.0552,-33.94852
POINT (116.1070749 -33.9318307),116.10707,-33.93183
POINT (116.1710525 -33.6223355),116.17105,-33.62234
POINT (116.1214315 -33.8874233),116.12143,-33.88742
POINT (116.185752 -33.919462),116.18575,-33.91946
POINT (116.1014485 -33.8781726),116.10145,-33.87817
POINT (116.0890995 -33.88224),116.0891,-33.88224
POINT (115.9358588 -33.7564645),115.93586,-33.75646
POINT (116.2162356 -33.9279884),116.21624,-33.92799
POINT (115.9895097 -33.8279086),115.98951,-33.82791
POINT (116.0156944 -33.951051),116.01569,-33.95105
POINT (116.0663376 -33.972402),116.06634,-33.9724
POINT (116.0663627 -33.9715358),116.06636,-33.97154
POINT (116.0663488 -33.9712364),116.06635,-33.97124
POINT (116.0752318 -33.9763545),116.07523,-33.97635
POINT (116.1568076 -34.2195103),116.15681,-34.21951
POINT (116.1658039 -34.2227846),116.1658,-34.22278
POINT (116.1568137 -34.2207911),116.15681,-34.22079
POINT (116.1568137 -34.2184091),116.15681,-34.21841
POINT (115.9934753 -34.2103161),115.99348,-34.21032
POINT (116.1393038 -33.9865877),116.1393,-33.98659
POINT (116.1499495 -34.2463055),116.14995,-34.24631
POINT (115.9501999 -34.1971326),115.9502,-34.19713
POINT (116.0503061 -34.2182831),116.05031,-34.21828
POINT (116.0236707 -34.2026786),116.02367,-34.20268
POINT (116.1182114 -34.2521632),116.11821,-34.25216
POINT (116.0068013 -34.3187194),116.0068,-34.31872
POINT (116.0899185 -34.2937638),116.08992,-34.29376
POINT (116.1694582 -34.2886744),116.16946,-34.28867
POINT (116.1805277 -34.2738435),116.18053,-34.27384
POINT (116.0605676 -34.1691947),116.06057,-34.16919
POINT (116.2039182 -34.2299013),116.20392,-34.2299
POINT (116.2081942 -34.2376101),116.20819,-34.23761
POINT (116.0122569 -34.2100752),116.01226,-34.21008
POINT (116.2336065 -34.3275787),116.23361,-34.32758
POINT (116.1416392 -34.3009567),116.14164,-34.30096
POINT (116.173907 -34.3267677),116.17391,-34.32677
POINT (116.1619225 -34.1251038),116.16192,-34.1251
POINT (116.1861561 -34.072504),116.18616,-34.0725
POINT (116.1778495 -34.0725555),116.17785,-34.07256
POINT (116.1367798 -34.0015941),116.13678,-34.00159
POINT (116.1314677 -33.987241),116.13147,-33.98724
POINT (116.1359368 -33.9837572),116.13594,-33.98376
POINT (116.0986429 -33.9893977),116.09864,-33.9894
POINT (116.1177993 -33.9727841),116.1178,-33.97278
POINT (116.2683156 -34.0043173),116.26832,-34.00432
POINT (116.148216 -33.9756216),116.14822,-33.97562
POINT (116.0706153 -34.0320958),116.07062,-34.0321
POINT (116.0387335 -34.2365431),116.03873,-34.23654
POINT (116.0789473 -34.1926029),116.07895,-34.1926
POINT (116.0993743 -34.2870794),116.09937,-34.28708
POINT (116.2187836 -34.2077651),116.21878,-34.20777
POINT (116.1806642 -34.612866),116.18066,-34.61287
POINT (116.2457706 -34.3883315),116.24577,-34.38833
POINT (116.0974959 -34.6117808),116.0975,-34.61178
POINT (116.1053086 -34.6187056),116.10531,-34.61871
POINT (116.0485527 -34.4076914),116.04855,-34.40769
POINT (116.1634927 -34.3393333),116.16349,-34.33933
POINT (116.0277113 -34.4302112),116.02771,-34.43021
POINT (116.182807 -34.4356745),116.18281,-34.43567
POINT (116.0967987 -34.6021631),116.0968,-34.60216
